id;name;ingredient_name;ingredient_id;producer_name;producer_id;image;favorite;EAN;bio;size_number;size_unit_code;yield_unit_code;yield_amount;;;;;;;;;;;;;;;;;;;
38;Leinsaat ganz;Leinsamen;227;Dennree;1;assets/images/products/dennree/520301.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
39;Leinsaat geschrotet;Leinsamen;227;Dennree;1;assets/images/products/dennree/520233.front.webp;0;;1;1;Pkg.;g;400;;;;;;;;;;;;;;;;;;;
40;Leinsaat geschrotet;Leinsamen;227;Dennree;1;assets/images/products/dennree/520222.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
41;Steirische Kürbiskerne;Kürbiskerne;221;Dennree;1;assets/images/products/dennree/520312.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
42;Leinöl nativ, kalt gepresst;Leinöl;226;Dennree;1;assets/images/products/dennree/584223.front.webp;0;;1;1;Fl.;ml;250;;;;;;;;;;;;;;;;;;;
43;Quinoa weiß;Quinoa weiß;324;Dennree;1;assets/images/products/dennree/500556.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
44;Hafer Natur;Haferjoghurt;144;Dennree;1;assets/images/products/dennree/152188.front.webp;0;;1;1;Bch.;g;400;;;;;;;;;;;;;;;;;;;
45;Kokos Natur;Kokosjoghurt;199;Dennree;1;assets/images/products/dennree/167207.front.webp;0;;1;1;Bch.;g;400;;;;;;;;;;;;;;;;;;;
46;Mandel Natur;Mandeljoghurt;253;Dennree;1;assets/images/products/dennree/152065.front.webp;0;;1;1;Bch.;g;400;;;;;;;;;;;;;;;;;;;
47;Soja Natur;Sojajoghurt;382;Dennree;1;assets/images/products/dennree/152199.front.webp;0;;1;1;Bch.;g;400;;;;;;;;;;;;;;;;;;;
48;Cashewbruch;Cashewkerne;59;Dennree;1;assets/images/products/dennree/457738.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
49;Cashewbruch;Cashewkerne;59;Dennree;1;assets/images/products/dennree/457749.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
50;Cashewkerne;Cashewkerne;59;Dennree;1;assets/images/products/dennree/457402.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
51;Cashewkerne;Cashewkerne;59;Dennree;1;assets/images/products/dennree/457413.front.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
52;Erdnüsse in der Schale, geröstet;Erdnüsse;111;Dennree;1;assets/images/products/dennree/455005.front.webp;0;;1;1;Pkg.;g;330;;;;;;;;;;;;;;;;;;;
53;Erdnüsse in der Schale, geröstet;Erdnüsse;111;Dennree;1;assets/images/products/dennree/456287.front.webp;0;;1;1;Pkg.;g;650;;;;;;;;;;;;;;;;;;;
54;Europäische Mandelkerne;Mandeln;257;Dennree;1;assets/images/products/dennree/457659.front.webp;0;;1;1;Pkg.;g;250;;;;;;;;;;;;;;;;;;;
55;Europäische Mandelkerne;Mandeln;257;Dennree;1;assets/images/products/dennree/457661.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
56;Grüne Pistazien geschält, ungeröstet, ungesalzen;Pistazien;317;Dennree;1;assets/images/products/dennree/457626.front.webp;0;;1;1;Pkg.;g;70;;;;;;;;;;;;;;;;;;;
