id;title;image
1;Gemüse;assets/images/Gemuese.jpg
2;Obst;assets/images/Obst.jpg
3;Getreide;assets/images/Getreide.jpg
4;Hülsenfrüchte;assets/images/Huelsenfruechte.jpg
5;Nüsse & Saaten;assets/images/Nuss.jpg
6;Gewürze;assets/images/Gewuerze.jpg
