﻿id;name;color;image;favorite
1;Frühstück;#bf360c;;1
2;Vormittagssnack;#f57f17;;
3;Mittagessen;#53772C;;1
4;Nachmittagssnack;#006064;;1
5;Abendessen;#01579b;;1
6;Abendsnack;#1a237e;;
