﻿id;name;color;image;base_energy_weight_factor;base_energy_age_plus;base_energy_age_factor;base_energy_plus_add;base_energy_multiplikator
1;weiblich;;;0,047;0;-0,01452;3,21;239
2;männlich;;;0,047;1,009;-0,01452;3,21;239
