id;name
1;Nebensaison Beginn
2;Hauptsaison Beginn
3;Hauptsaison Ende
4;Nebensaison Ende
5;Standardgewicht
6;EK-Preis
7;EK-Größe
8;zuletzt eingekauft
9;gesamt gekauft
10;Haupt-Einkaufsort
